ID,STREETNO,STREET,ZESTIMATE,SQFT,BEDR,BATHR,YRBUILT,LOTSIZE,SOLDFOR,YRSOLD
150,504,Apple,244069,1960,3,2,1400,0.36,,
23,120,Townsend,303508,1800,3,3,1903,0.35,183000,1997
95,56,Sunset,307445,2186,4,3,1915,0.26,532000,2007
99,45,Sunset,297546,1625,3,1.5,1915,0.27,,
10,208,Orchard,364482,2125,5,4,1921,0.53,280000,1995
108,15,Sunset,298865,1375,3,2,1925,0.17,300000,2019
7,232,Orchard,302696,1950,3,2,1926,0.26,340000,2002
8,228,Orchard,327455,2200,3,1.5,1926,0.26,,
5,244,Orchard,305184,1675,3,1.5,1928,0.26,,
