iata_code,name,continent,iso_country,municipality
GZI,Ghazni Airport,AS,AF,Ghazni
GZM,Xewkija Heliport,EU,MT,Gozo
GZO,Nusatupe Airport,OC,SB,Gizo
GZP,Gazipaşa Airport,AS,TR,Gazipaşa
GZT,Gaziantep International Airport,AS,TR,Gaziantep
GZW,Qazvin Airport,AS,IR,Qazvin
HAA,Hasvik Airport,EU,NO,Hasvik
HAB,Marion County Rankin Fite Airport,NA,US,Hamilton
HAC,Hachijojima Airport,AS,JP,Hachijojima
HAD,Halmstad Airport,EU,SE,Halmstad
HAE,Lava Falls Heliport,NA,US,Supai Village
HAF,Half Moon Bay Airport,NA,US,Half Moon Bay
HAH,Prince Said Ibrahim International Airport,AF,KM,Moroni
HAI,Three Rivers Municipal Dr Haines Airport,NA,US,Three Rivers
HAJ,Hannover Airport,EU,DE,Hannover
HAK,Haikou Meilan International Airport,AS,CN,Haikou
HAL,Halali Airport,AF,NA,Halali
HAM,Hamburg Airport,EU,DE,Hamburg
HAN,Noi Bai International Airport,AS,VN,Hanoi
HAO,Butler Co Regional Airport - Hogan Field,NA,US,Hamilton
HAQ,Hanimaadhoo Airport,AS,MV,Haa Dhaalu Atoll
HAR,Capital City Airport,NA,US,Harrisburg
HAS,Ha'il Airport,AS,SA,Ha'il
HAT,[Duplicate] Heathlands Airport,OC,AU,Heathlands
HAT,Heathlands Airport,OC,AU,
HAU,Haugesund Airport,EU,NO,Karmøy
HAV,José Martí International Airport,NA,CU,Havana
HAW,Haverfordwest Airport,EU,GB,Haverfordwest
HAX,Hatbox Field,NA,US,Muskogee
HAY,Haycock Airport,NA,US,Haycock
HAZ,Hatzfeldhaven Airport,OC,PG,Hatzfeldhaven
HBA,Hobart International Airport,OC,AU,Hobart
HBB,Industrial Airpark,NA,US,Hobbs
HBD,Habi Airport,OC,PG,Habi
HBE,Borg El Arab International Airport,AF,EG,Alexandria
HBG,Hattiesburg Bobby L Chain Municipal Airport,NA,US,Hattiesburg
HBH,Entrance Island Seaplane Base,NA,US,Entrance Island
HBK,Holbrook Municipal Airport,NA,US,Holbrook
HBR,Hobart Regional Airport,NA,US,Hobart
HBT,Hambantota Seaplane Base,AS,LK,Hambantota
HBU,Bulgan Sum Airport,AS,MN,Bulgan
HBX,Hubli Airport,AS,IN,Hubli
HCA,Big Spring Mc Mahon-Wrinkle Airport,NA,US,Big Spring
HCC,Columbia County Airport,NA,US,Hudson
HCJ,Hechi Jinchengjiang Airport,AS,CN,Hechi
HCM,Eil Airport,AF,SO,Eyl
HCN,Hengchun Airport,AS,TW,Hengchung
HCQ,Halls Creek Airport,OC,AU,
HCR,Holy Cross Airport,NA,US,Holy Cross
HCW,Cheraw Municipal Airport/Lynch Bellinger Field,NA,US,Cheraw
HDB,Heidelberg Army Helicopter Base,EU,DE,Heidelberg
HDB,[Duplicate] Heidelberg Army Heliport,EU,DE,Heidelberg
HDD,Hyderabad Airport,AS,PK,Hyderabad
HDE,Brewster Field,NA,US,Holdrege
HDF,Heringsdorf Airport,EU,DE,Heringsdorf
HDG,Handan Airport,AS,CN,Handan
HDH,Dillingham Airfield,NA,US,Mokuleia
HDM,Hamadan Airport,AS,IR,Hamadan
HDN,Yampa Valley Airport,NA,US,Hayden
HDR,Havadarya Airport,AS,IR,Havadarya
HDS,Hoedspruit Air Force Base Airport,AF,ZA,Hoedspruit
HDY,Hat Yai International Airport,AS,TH,Hat Yai
HEA,Herat Airport,AS,AF,
HEB,Hinthada Airport,AS,MM,Hinthada
HED,Herendeen Bay Airport,NA,US,Herendeen Bay
HEE,Thompson-Robbins Airport,NA,US,Helena/West Helena
HEG,Heglig Airport,AF,SD,Heglig Oilfield
HEH,Heho Airport,AS,MM,Heho
HEI,Heide-Büsum Airport,EU,DE,Büsum
HEK,Heihe Airport,AS,CN,Heihe
HEL,Helsinki Vantaa Airport,EU,FI,Helsinki
HEM,Helsinki Malmi Airport,EU,FI,Helsinki
HEO,Haelogo Airport,OC,PG,Haelogo
HER,Heraklion International Nikos Kazantzakis Airport,EU,GR,Heraklion
HES,Hermiston Municipal Airport,NA,US,Hermiston
HET,Baita International Airport,AS,CN,Hohhot
HEW,Athen Helenikon Airport,EU,GR,Athens
HEX,Herrera Airport,NA,DO,Santo Domingo
HEY,Hanchey Army (Fort Rucker) Heliport,NA,US,Fort Rucker Ozark
HEZ,Hardy-Anders Field / Natchez-Adams County Airport,NA,US,Natchez
HFA,Haifa International Airport,AS,IL,Haifa
HFD,Hartford Brainard Airport,NA,US,Hartford
HFE,Hefei Luogang International Airport,AS,CN,Hefei
HFF,Mackall Army Air Field,NA,US,Camp Mackall
HFN,Hornafjörður Airport,EU,IS,Höfn
HFS,Hagfors Airport,EU,SE,
HFT,Hammerfest Airport,EU,NO,Hammerfest
HGA,Egal International Airport,AF,SO,Hargeisa
HGD,Hughenden Airport,OC,AU,
HGE,Higuerote Airport,SA,VE,Higuerote
HGH,Hangzhou Xiaoshan International Airport,AS,CN,Hangzhou
HGI,"Paloich Airport, Heliport",AF,SS,Higleig
HGL,Helgoland-Düne Airport,EU,DE,Helgoland
HGN,Mae Hong Son Airport,AS,TH,
HGO,Korhogo Airport,AF,CI,Korhogo
HGR,Hagerstown Regional Richard A Henson Field,NA,US,Hagerstown
HGS,Hastings Airport,AF,SL,Freetown
HGT,Tusi AHP (Hunter Liggett) Heliport,NA,US,Fort Hunter Ligget Jolon
HGU,Mount Hagen Kagamuga Airport,OC,PG,Mount Hagen
HGZ,Hog River Airport,NA,US,Hogatza
HHE,Hachinohe Airport,AS,JP,
HHH,Hilton Head Airport,NA,US,Hilton Head Island
HHI,Wheeler Army Airfield,NA,US,Wahiawa
HHN,Frankfurt-Hahn Airport,EU,DE,Frankfurt am Main
HHP,Shun Tak Heliport,AS,HK,Hong Kong
HHQ,Hua Hin Airport,AS,TH,Hua Hin
HHR,Jack Northrop Field Hawthorne Municipal Airport,NA,US,Hawthorne
HHZ,Hikueru Atoll Airport,OC,PF,Hikueru Atoll
HIA,Lianshui Airport,AS,CN,Huai'an
HIB,Range Regional Airport,NA,US,Hibbing
HID,Horn Island Airport,OC,AU,Horn Island
HIE,Mount Washington Regional Airport,NA,US,Whitefield
HIF,Hill Air Force Base,NA,US,Ogden
HIG,[Duplicate] Highbury Airport,OC,AU,Highbury
HIG,Highbury Airport,OC,AU,
HII,Lake Havasu City Airport,NA,US,Lake Havasu City
HIJ,Hiroshima Airport,AS,JP,Hiroshima
HIL,Shilavo Airport,AF,ET,Shilavo
HIM,Hingurakgoda Air Force Base,AS,LK,Polonnaruwa Town
HIN,Sacheon Air Base/Airport,AS,KR,Sacheon
HIO,Portland Hillsboro Airport,NA,US,Portland
HIP,Headingly Airport,OC,AU,
HIR,Honiara International Airport,OC,SB,Honiara
HIS,Hayman Island Resort Seaplane Base,OC,AU,Hayman Island
HIT,Haivaro Airport,OC,PG,Haivaro
HIW,Hiroshimanishi Airport,AS,JP,
HJJ,Zhijiang Airport,AS,CN,Huaihua
HJR,Khajuraho Airport,AS,IN,Khajuraho
HJT,Khujirt Airport,AS,MN,Khujirt
HKA,Blytheville Municipal Airport,NA,US,Blytheville
HKB,Healy Lake Airport,NA,US,Healy Lake
HKD,Hakodate Airport,AS,JP,Hakodate
HKG,Hong Kong International Airport,AS,HK,Hong Kong
HKG,Hong Kong International Airport Kai Tak,AS,HK,Hong Kong
HKK,Hokitika Airfield,OC,NZ,
HKN,Kimbe Airport,OC,PG,Hoskins
HKP,Kaanapali Airport,NA,US,Kaanapali
HKS,Hawkins Field,NA,US,Jackson
HKT,Phuket International Airport,AS,TH,Phuket
HKV,Malevo Airport,EU,BG,Haskovo
HKY,Hickory Regional Airport,NA,US,Hickory
HLA,Lanseria Airport,AF,ZA,Johannesburg
HLA,Lanseria,AF,ZA,Lanseria
HLB,Hillenbrand Industries Airport,NA,US,Batesville
HLC,Hill City Municipal Airport,NA,US,Hill City
HLD,Dongshan Airport,AS,CN,Hailar
HLE,St. Helena Airport,AF,SH,Jamestown
HLF,Hultsfred Airport,EU,SE,
HLG,Wheeling Ohio County Airport,NA,US,Wheeling
HLH,Ulanhot Airport,AS,CN,Ulanhot
HLI,Hollister Municipal Airport,NA,US,Hollister
HLJ,Barysiai Airport,EU,LT,Barysiai
HLL,Hillside Airport,OC,AU,Hillside
HLM,Park Township Airport,NA,US,Holland
HLN,Helena Regional Airport,NA,US,Helena
HLO,Ingjaldssanður Airport,EU,IS,Onundarfjörður
HLP,Halim Perdanakusuma International Airport,AS,ID,Jakarta
HLR,Hood Army Air Field,NA,US,Fort Hood(Killeen)
HLS,St Helens Airport,OC,AU,
HLT,Hamilton Airport,OC,AU,
HLU,Nesson Airport,OC,NC,Houailou
HLV,Helenvale Airport,OC,AU,Helenvale
HLW,Hluhluwe Airport,AF,ZA,Hluhluwe
HLZ,Hamilton International Airport,OC,NZ,Hamilton
HMA,Khanty Mansiysk Airport,AS,RU,Khanty-Mansiysk
HMB,Sohag International Airport,AF,EG,Sohag
HME,Oued Irara Airport,AF,DZ,Hassi Messaoud
HMG,Hermannsburg Airport,OC,AU,
HMI,Hami Airport,AS,CN,Hami
HMJ,Khmelnytskyi Airport,EU,UA,Khmelnytskyi
HMN,Holloman Air Force Base,NA,US,Alamogordo
HMO,General Ignacio P. Garcia International Airport,NA,MX,Hermosillo
HMR,Stafsberg Airport,EU,NO,Hamar
HMT,Hemet Ryan Airport,NA,US,Hemet
HMV,Hemavan Airport,EU,SE,
HMY,Seosan Air Base,AS,KR,Seosan
HNA,Hanamaki Airport,AS,JP,
HNB,Huntingburg Airport,NA,US,Huntingburg
HNC,Billy Mitchell Airport,NA,US,Hatteras
HND,Tokyo Haneda International Airport,AS,JP,Tokyo
HNE,Tahneta Pass Airport,NA,US,Tahneta Pass Lodge
HNH,Hoonah Airport,NA,US,Hoonah
HNI,Heiweni Airport,OC,PG,Heiweni
HNL,Daniel K Inouye International Airport,NA,US,Honolulu
HNM,Hana Airport,NA,US,Hana
HNN,Honinabi Airport,OC,PG,Honinabi
HNS,Haines Airport,NA,US,Haines
HNY,Hengyang Nanyue Airport,AS,CN,Hengyang
HOA,Hola Airport,AF,KE,Hola
HOB,Lea County Regional Airport,NA,US,Hobbs
HOC,Komako Airport,OC,PG,Komako
HOD,Hodeidah International Airport,AS,YE,Hodeida
HOE,Ban Huoeisay Airport,AS,LA,Huay Xai
HOF,Al Ahsa Airport,AS,SA,
HOG,Frank Pais International Airport,NA,CU,Holguin
HOH,Hohenems-Dornbirn Airport,EU,AT,Hohenems / Dornbirn
HOI,Hao Airport,OC,PF,
HOK,Hooker Creek Airport,OC,AU,Lajamanu
HOM,Homer Airport,NA,US,Homer
HON,Huron Regional Airport,NA,US,Huron
HOO,Nhon Co Airfield,AS,VN,Quang Duc
HOP,Campbell AAF (Fort Campbell) Air Field,NA,US,Fort Campbell/Hopkinsville
